                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    151,                  1.084,                0.61845,                0.93217,                0.90729,                0.75165,                0.85378,                0.57766,                 1.3937,                0.79536,                 1.0898,               0.002575,               0.002575,               0.002575
                    152,                 1.0709,                0.61486,                0.92753,                0.89076,                0.76156,                0.84921,                0.56154,                 1.3893,                0.78962,                 1.0923,              0.0025255,              0.0025255,              0.0025255
                    153,                 1.0556,                0.60801,                0.92625,                0.90043,                0.76175,                0.84682,                0.55901,                 1.3981,                0.80733,                 1.0951,               0.002476,               0.002476,               0.002476
                    154,                 1.0658,                0.60464,                0.92593,                 0.8821,                0.77159,                0.84676,                 0.5749,                 1.3885,                0.79514,                  1.091,              0.0024265,              0.0024265,              0.0024265
                    155,                 1.0607,                0.61497,                0.92942,                0.90146,                 0.7715,                0.85121,                0.56648,                 1.3802,                0.78998,                 1.0871,               0.002377,               0.002377,               0.002377
                    156,                 1.0592,                0.60666,                0.92459,                0.90444,                0.76491,                0.84283,                0.57509,                 1.3967,                0.78772,                 1.0935,              0.0023275,              0.0023275,              0.0023275
                    157,                  1.048,                0.60326,                0.92349,                0.88566,                0.78881,                0.84857,                0.56555,                 1.3845,                0.78328,                  1.089,               0.002278,               0.002278,               0.002278
                    158,                 1.0456,                0.59312,                0.92177,                0.85755,                0.80037,                0.85094,                0.58545,                 1.3928,                0.78372,                 1.0901,              0.0022285,              0.0022285,              0.0022285
                    159,                  1.055,                0.60677,                0.92175,                0.90194,                0.76411,                0.85181,                0.58443,                 1.3926,                0.78618,                 1.0875,               0.002179,               0.002179,               0.002179
                    160,                 1.0448,                0.59992,                0.92258,                0.91587,                0.76347,                0.85641,                0.58259,                 1.3951,                0.78856,                 1.0919,              0.0021295,              0.0021295,              0.0021295
                    161,                 1.0418,                 0.5939,                0.91954,                0.91879,                0.76793,                0.85775,                0.58195,                 1.3799,                0.78604,                 1.0882,                0.00208,                0.00208,                0.00208
                    162,                 1.0458,                0.60184,                0.91925,                0.92033,                0.77261,                0.85885,                0.59409,                  1.396,                0.78167,                  1.094,              0.0020305,              0.0020305,              0.0020305
                    163,                 1.0435,                 0.5898,                0.92256,                0.91359,                0.77501,                0.85915,                0.59467,                 1.3907,                0.78919,                 1.0902,               0.001981,               0.001981,               0.001981
                    164,                 1.0264,                0.58289,                  0.924,                0.89186,                0.78538,                0.85744,                0.57992,                 1.3859,                0.78241,                 1.0902,              0.0019315,              0.0019315,              0.0019315
                    165,                 1.0309,                0.58673,                0.91545,                0.92081,                0.75666,                0.85578,                0.58388,                 1.3845,                0.79084,                 1.0889,               0.001882,               0.001882,               0.001882
                    166,                 1.0171,                0.58969,                0.91691,                0.88346,                 0.7884,                0.85856,                0.58463,                 1.3733,                0.78918,                  1.086,              0.0018325,              0.0018325,              0.0018325
                    167,                 1.0219,                0.58112,                0.91839,                0.87422,                0.79422,                0.86214,                0.58529,                 1.3707,                0.78492,                 1.0844,               0.001783,               0.001783,               0.001783
                    168,                 1.0284,                0.58601,                0.91842,                0.91651,                0.75972,                0.85613,                0.58021,                 1.3833,                0.79169,                 1.0939,              0.0017335,              0.0017335,              0.0017335
                    169,                 1.0058,                 0.5774,                 0.9146,                 0.9029,                0.77219,                0.85639,                0.59342,                 1.3847,                0.78472,                 1.0957,               0.001684,               0.001684,               0.001684
                    170,                 1.0176,                0.57548,                0.91028,                0.88848,                0.77825,                0.85827,                0.58219,                 1.3752,                0.78231,                 1.0895,              0.0016345,              0.0016345,              0.0016345
                    171,                0.99623,                0.55945,                0.91413,                0.90075,                0.76766,                0.86003,                0.58818,                  1.363,                0.78293,                 1.0829,               0.001585,               0.001585,               0.001585
                    172,                0.99467,                0.56538,                0.91216,                0.86521,                0.80445,                0.86191,                0.59083,                 1.3622,                0.78275,                  1.079,              0.0015355,              0.0015355,              0.0015355
                    173,                0.99486,                0.56822,                0.91419,                0.87514,                0.79741,                0.86083,                0.60743,                  1.351,                0.77648,                 1.0728,               0.001486,               0.001486,               0.001486
                    174,                0.98478,                0.56278,                0.91572,                0.86766,                0.80672,                0.85689,                0.60669,                 1.3572,                0.78035,                 1.0753,              0.0014365,              0.0014365,              0.0014365
                    175,                0.98104,                0.55934,                0.90767,                0.86016,                0.81015,                0.85836,                 0.6073,                 1.3552,                 0.7819,                 1.0749,               0.001387,               0.001387,               0.001387
                    176,                0.97594,                0.55192,                0.90766,                0.87144,                0.81033,                0.85823,                0.59132,                  1.362,                0.78038,                 1.0774,              0.0013375,              0.0013375,              0.0013375
                    177,                0.98028,                0.55062,                0.90705,                0.87377,                0.79788,                0.85741,                 0.5896,                 1.3619,                 0.7857,                 1.0772,               0.001288,               0.001288,               0.001288
                    178,                0.96196,                0.54129,                0.90014,                0.90275,                0.78157,                0.85624,                0.58865,                 1.3639,                0.79357,                 1.0786,              0.0012385,              0.0012385,              0.0012385
                    179,                0.97943,                0.55738,                 0.9106,                0.90429,                0.78273,                0.85806,                 0.5921,                 1.3563,                0.79208,                 1.0776,               0.001189,               0.001189,               0.001189
                    180,                0.97081,                0.55182,                0.90393,                0.90927,                0.77532,                0.85903,                0.59307,                 1.3547,                0.78679,                 1.0794,              0.0011395,              0.0011395,              0.0011395
                    181,                0.96062,                0.54373,                0.90573,                 0.9082,                 0.7799,                0.86085,                0.60895,                   1.35,                0.78451,                 1.0794,                0.00109,                0.00109,                0.00109
                    182,                0.95977,                0.54293,                0.90217,                0.90478,                0.78626,                0.85983,                0.60747,                 1.3511,                0.79205,                 1.0782,              0.0010405,              0.0010405,              0.0010405
                    183,                0.94906,                0.54064,                0.90051,                0.90387,                0.78331,                0.85898,                0.60958,                  1.346,                0.78511,                 1.0752,               0.000991,               0.000991,               0.000991
                    184,                0.94464,                  0.535,                0.90004,                0.91835,                0.77902,                0.86116,                0.60795,                 1.3468,                0.78254,                  1.076,              0.0009415,              0.0009415,              0.0009415
                    185,                0.94124,                0.53848,                0.90005,                0.91643,                0.78191,                0.86081,                0.61015,                 1.3454,                0.78215,                 1.0748,               0.000892,               0.000892,               0.000892
                    186,                 0.9407,                 0.5335,                0.89744,                0.91158,                 0.7873,                0.86389,                0.61038,                 1.3504,                 0.7833,                 1.0742,              0.0008425,              0.0008425,              0.0008425
                    187,                0.93656,                0.52868,                 0.8984,                0.91734,                0.78333,                0.86194,                0.60977,                 1.3545,                0.78755,                 1.0756,               0.000793,               0.000793,               0.000793
                    188,                0.93788,                0.53379,                0.89695,                0.91144,                0.78649,                0.86314,                0.59529,                 1.3587,                0.78614,                 1.0764,              0.0007435,              0.0007435,              0.0007435
                    189,                0.93188,                  0.531,                0.89779,                0.90569,                0.78485,                0.86497,                0.59397,                 1.3615,                0.78563,                 1.0755,               0.000694,               0.000694,               0.000694
                    190,                0.93442,                0.53009,                0.89621,                0.90443,                0.78377,                0.86501,                0.60901,                 1.3619,                0.77908,                 1.0769,              0.0006445,              0.0006445,              0.0006445
                    191,                0.81519,                0.43361,                0.86122,                 0.8923,                0.79451,                0.86137,                0.58971,                 1.3692,                0.78157,                 1.0816,               0.000595,               0.000595,               0.000595
                    192,                0.78384,                 0.4106,                0.85472,                 0.8881,                0.79265,                0.85785,                0.58953,                  1.374,                0.78386,                 1.0836,              0.0005455,              0.0005455,              0.0005455
                    193,                 0.7793,                0.40765,                0.85275,                0.89063,                0.79095,                0.85659,                 0.5857,                 1.3718,                0.78126,                 1.0831,               0.000496,               0.000496,               0.000496
                    194,                0.75762,                0.40244,                0.84903,                0.89027,                0.79444,                 0.8567,                0.60084,                 1.3703,                 0.7775,                 1.0833,              0.0004465,              0.0004465,              0.0004465
                    195,                0.74911,                0.39735,                0.84985,                0.88362,                0.78914,                0.85615,                0.60276,                 1.3722,                0.77599,                 1.0834,               0.000397,               0.000397,               0.000397
                    196,                0.73607,                0.39228,                 0.8433,                0.87613,                0.79064,                 0.8593,                0.60317,                 1.3741,                0.77273,                 1.0839,              0.0003475,              0.0003475,              0.0003475
                    197,                0.73986,                0.39519,                0.84329,                0.88048,                0.79277,                0.86002,                0.60395,                 1.3735,                0.77009,                 1.0836,               0.000298,               0.000298,               0.000298
                    198,                0.73789,                0.39722,                0.84242,                0.87561,                0.79404,                0.86037,                0.60558,                 1.3741,                0.76701,                 1.0843,              0.0002485,              0.0002485,              0.0002485
                    199,                0.72405,                0.38875,                0.83927,                0.87851,                0.79566,                 0.8608,                0.60647,                 1.3709,                0.76307,                  1.083,               0.000199,               0.000199,               0.000199
                    200,                0.73761,                0.39175,                0.84287,                 0.8761,                0.79466,                0.86056,                0.60709,                 1.3661,                 0.7626,                 1.0807,              0.0001495,              0.0001495,              0.0001495
